base_month,sim_period_months,confidence_score,confidence_level,share_r2,share_slope,n_train_months,mae,rmse,mape,max_abs_error,direction_accuracy,n_valid
2025-02,1,76.29,MEDIUM,0.9058179255491353,-0.1735000000000006,3,0.0536,0.0536,0.31,0.0536,,1
2025-02,2,76.29,MEDIUM,0.9058179255491353,-0.1735000000000006,3,0.2055,0.2555,1.21,0.3574,100.0,2
2025-02,3,76.29,MEDIUM,0.9058179255491353,-0.1735000000000006,3,0.2605,0.2988,1.54,0.3704,100.0,3
2025-02,6,76.29,MEDIUM,0.9058179255491353,-0.1735000000000006,3,0.3278,0.3529,1.97,0.4765,100.0,6
2025-03,1,79.57,MEDIUM,0.9618806547385029,-0.1895800000000001,4,0.3038,0.3038,1.79,0.3038,,1
2025-03,2,79.57,MEDIUM,0.9618806547385029,-0.1895800000000001,4,0.3022,0.3023,1.79,0.3038,100.0,2
2025-03,3,79.57,MEDIUM,0.9618806547385029,-0.1895800000000001,4,0.2833,0.2846,1.68,0.3038,100.0,3
2025-03,6,79.57,MEDIUM,0.9618806547385029,-0.1895800000000001,4,0.2829,0.2866,1.71,0.3586,100.0,6
2025-04,1,78.96,MEDIUM,0.934342118806711,-0.2503399999999999,5,0.0577,0.0577,0.34,0.0577,,1
2025-04,2,78.96,MEDIUM,0.934342118806711,-0.2503399999999999,5,0.058,0.0581,0.35,0.0584,100.0,2
2025-04,3,78.96,MEDIUM,0.934342118806711,-0.2503399999999999,5,0.0683,0.0698,0.41,0.0888,100.0,3
2025-04,6,78.96,MEDIUM,0.934342118806711,-0.2503399999999999,5,0.1854,0.2633,1.14,0.5678,80.0,6
2025-05,1,81.04,HIGH,0.9624724076657142,-0.2585799999999997,6,0.0968,0.0968,0.58,0.0968,,1
2025-05,2,81.04,HIGH,0.9624724076657142,-0.2585799999999997,6,0.1161,0.1178,0.7,0.1355,100.0,2
2025-05,3,81.04,HIGH,0.9624724076657142,-0.2585799999999997,6,0.118,0.1191,0.72,0.1355,100.0,3
2025-05,6,81.04,HIGH,0.9624724076657142,-0.2585799999999997,6,0.3559,0.4497,2.2,0.8058,80.0,6
